
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

inhibitor,activator,inhibitor_dt,activator_dt,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,
5,5,5,6,

3,8,10,3,
8,7,10,1,
3,7,8,4,
3,2,9,3,
0,5,7,0,
14,10,12,1,
1,5,10,0,
2,2,9,0,
7,9,11,2,
2,2,6,0,
9,0,7,1,
3,8,10,3,
10,0,8,1,
2,9,9,2,
1,5,11,0,
0,9,9,2,
0,4,8,1,
10,6,10,5,
1,2,9,0,
