
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
4,0,0,0,4,1,1,1,1,

inhibitor,activator,inhibitor_dt,activator_dt,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,3.21143e-322,

1.2,1.7,3.15,0.4,
0.6,0.85,1.525,0.2,
1.7,3.15,0.4,0,
0.85,1.525,0.2,3.21143e-322,

2.4,3.4,6.7,0.8,
1.8,2.55,4.875,0.6,
3.4,6.7,0.8,0,
2.55,4.875,0.6,3.21143e-322,

3.6,5.1,10.65,1.2,
3,4.25,8.625,1,
5.1,10.65,1.2,0,
4.25,8.625,1,3.21143e-322,

4.8,6.8,15,1.6,
4.2,5.95,12.775,1.4,
6.8,15,1.6,0,
5.95,12.775,1.4,3.21143e-322,

6,8.5,19.75,2,
5.4,7.65,17.325,1.8,
8.5,19.75,2,0,
7.65,17.325,1.8,3.21143e-322,

7.2,10.2,24.9,2.4,
6.6,9.35,22.275,2.2,
10.2,24.9,2.4,0,
9.35,22.275,2.2,3.21143e-322,

8.4,11.9,30.45,2.8,
7.8,11.05,27.625,2.6,
11.9,30.45,2.8,0,
11.05,27.625,2.6,3.21143e-322,

9.6,13.6,36.4,3.2,
9,12.75,33.375,3,
13.6,36.4,3.2,0,
12.75,33.375,3,3.21143e-322,

10.8,15.3,42.75,3.6,
10.2,14.45,39.525,3.4,
15.3,42.75,3.6,0,
14.45,39.525,3.4,3.21143e-322,

# Showing cells 0-4 until 9 min
