
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,

red_room_dT,red_box_T,green_room_dT,green_box_T,blue_room_dT,blue_box_T,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,

0,1995,575,884,178,322,
0,1995,497,806,185,329,
0,2014,521,845,166,322,
0,1995,551,845,168,322,
0,1995,468,819,171,294,
0,1995,538,793,165,329,
0,2014,557,884,177,329,
0,2014,534,819,163,315,
0,2014,554,806,174,322,
0,1995,548,884,176,322,
0,2014,581,845,170,329,
0,1995,539,819,181,315,
0,1995,515,806,166,336,
0,2014,640,910,141,301,
0,2014,557,884,174,308,
0,1995,562,884,167,322,
0,1995,523,871,162,308,
0,2014,542,819,175,308,
0,1995,594,858,155,294,
0,2014,539,806,177,322,
0,2014,529,858,185,308,
0,2014,546,819,158,294,
0,1995,522,819,168,336,
0,2014,508,793,170,301,
0,1995,523,832,166,322,
0,2014,513,754,167,329,
0,2014,533,845,169,301,
0,2014,575,858,162,315,
0,2014,574,858,174,336,
0,1995,562,806,163,336,
0,2014,483,780,170,301,
0,2014,527,819,180,343,
0,2014,578,884,167,329,
0,2014,420,819,183,315,
0,2014,573,858,177,343,
0,2014,587,845,166,322,
0,1995,615,897,174,336,
0,2014,583,845,171,315,
0,2014,520,832,178,315,
0,2014,462,793,169,329,
0,2014,498,819,178,343,
0,2014,527,832,171,329,
0,2014,526,806,172,336,
0,1995,542,819,168,350,
0,2014,503,767,155,294,
0,1995,553,832,162,315,
0,1995,499,793,176,315,
0,2014,576,871,178,336,
0,1995,499,793,172,315,
0,1995,457,793,162,336,
0,2014,536,845,160,336,
0,2014,515,806,183,322,
0,2014,540,832,166,308,
0,2014,520,832,158,322,
0,2014,479,767,175,350,
0,2014,543,819,166,301,
0,2014,455,806,187,322,
0,2014,497,819,179,322,
0,2014,508,832,168,329,
0,1995,521,819,175,322,
0,2014,527,806,168,294,
0,1995,480,819,164,315,
0,2014,537,819,176,329,
0,1995,527,845,159,322,
0,2014,551,806,164,322,
0,2014,508,832,161,315,
0,2014,442,793,188,329,
0,2014,583,871,165,315,
0,2014,529,832,177,308,
0,2014,539,858,153,322,
0,1995,514,793,166,343,
0,2014,525,858,174,308,
0,2014,473,767,184,301,
0,2014,552,858,168,315,
0,2014,553,832,175,301,
0,2014,528,858,170,308,
0,1995,578,832,162,315,
0,2014,471,832,171,315,
0,2014,548,806,171,343,
0,2014,560,884,161,308,
0,2014,486,780,183,329,
0,1995,543,858,164,322,
0,2014,577,871,173,308,
0,2014,541,871,180,329,
0,2014,547,871,172,308,
0,2014,503,793,158,287,
0,2014,545,845,157,294,
0,2014,575,845,169,301,
0,2014,508,832,179,336,
0,2014,481,832,176,315,
0,2014,579,871,178,308,
0,1995,568,871,160,315,
0,2014,488,806,180,315,
0,2014,575,884,172,343,
0,1995,529,806,175,322,
0,1995,499,832,167,329,
0,2014,557,884,161,350,
0,2014,500,767,152,329,
0,2014,496,832,166,329,
0,2014,516,780,165,329,

0,2014,732,1014,395,532,
0,2014,620,962,389,511,
0,2014,670,988,367,546,
0,2014,639,975,395,532,
0,2014,640,949,392,518,
0,1995,642,975,377,525,
0,2014,683,1001,395,518,
0,2014,698,1001,361,532,
0,2014,695,1001,385,511,
0,2014,722,1040,378,504,
0,2014,710,1040,380,532,
0,2014,631,962,403,525,
0,2014,734,1040,349,504,
0,2014,627,975,351,518,
0,2014,711,1014,373,546,
0,2014,672,988,383,539,
0,2014,716,1001,357,511,
0,2014,669,949,375,511,
0,2014,661,988,363,525,
0,2014,695,1001,373,518,
0,2014,648,923,383,539,
0,2014,649,1027,364,490,
0,2014,659,1001,363,525,
0,2014,675,975,362,504,
0,2014,708,1014,366,518,
0,2014,657,988,375,532,
0,2014,705,1014,367,525,
0,2014,648,988,370,504,
0,2014,707,1027,372,525,
0,2014,648,949,401,546,
0,2014,705,1053,372,504,
0,2014,766,1040,357,525,
0,2014,666,975,389,525,
0,2014,666,975,375,532,
0,2014,736,1027,385,560,
0,2014,650,962,374,532,
0,2014,674,1001,389,532,
0,2014,715,1040,373,518,
0,2014,668,962,377,525,
0,2014,635,975,385,539,
0,2014,729,1014,377,546,
0,2014,674,949,384,518,
0,2014,685,1001,371,525,
0,2014,639,949,370,546,
0,2014,703,988,352,525,
0,2014,656,962,367,546,
0,2014,660,975,374,546,
0,2014,701,1014,381,560,
0,1995,735,1053,366,511,
0,2014,566,923,363,504,
0,2014,704,962,366,518,
0,2014,714,1014,383,525,
0,2014,603,949,377,539,
0,2014,672,1014,367,518,
0,2014,758,1040,367,504,
0,2014,637,949,381,539,
0,2014,689,1001,372,546,
0,2014,691,1001,387,546,
0,2014,716,1001,358,504,
0,2014,712,1040,366,518,
0,2014,631,988,377,511,
0,2014,630,975,371,504,
0,2014,657,975,392,525,
0,2014,600,936,368,511,
0,2014,694,988,369,511,
0,2014,725,1001,363,539,
0,2014,657,1014,377,539,
0,2014,635,962,368,546,
0,2014,718,988,379,518,
0,2014,634,1001,362,525,
0,1995,712,988,367,525,
0,2014,632,962,383,518,
0,2014,730,1066,368,497,
0,2014,620,962,381,511,
0,2014,689,1001,367,539,
0,2014,648,975,385,518,
0,2014,645,923,374,560,
0,2014,680,975,369,504,
0,2014,691,988,364,532,
0,2014,633,975,375,511,
0,2014,662,1001,379,511,
0,2014,666,975,377,532,
0,2014,698,1001,359,518,
0,2014,596,1001,396,511,
0,2014,633,975,375,511,
0,2014,727,1014,374,546,
0,2014,670,988,361,504,
0,2014,673,988,374,497,
0,2014,670,988,386,504,
0,2014,663,975,377,497,
0,2014,659,975,395,546,
0,2014,695,1001,369,539,
0,2014,692,1040,379,483,
0,2014,694,1027,382,546,
0,2014,655,1001,378,518,
0,2014,679,988,368,518,
0,2014,559,949,382,511,
0,2014,681,975,363,497,
0,2014,665,962,370,532,
0,2014,672,975,362,511,

0,2014,733,1066,572,707,
0,2014,838,1144,561,721,
0,2014,774,1131,551,721,
0,2014,783,1131,568,714,
0,2014,818,1118,549,700,
0,2014,795,1092,552,728,
0,2014,831,1131,560,707,
0,2014,798,1131,552,721,
0,2014,777,1131,566,714,
0,2014,793,1105,558,728,
0,2014,777,1131,562,693,
0,2014,877,1157,568,721,
0,2014,799,1105,524,714,
0,2014,824,1079,519,714,
0,2014,796,1144,547,707,
0,2014,820,1118,548,721,
0,2014,773,1118,542,707,
0,2014,850,1118,554,693,
0,2014,882,1131,537,707,
0,2014,758,1118,546,672,
0,2014,805,1092,559,714,
0,2014,860,1118,530,707,
0,2014,752,1079,553,672,
0,2014,826,1144,545,686,
0,2014,871,1183,535,693,
0,2014,774,1105,554,707,
0,2014,750,1092,559,721,
0,2014,797,1131,550,707,
0,2014,750,1118,563,728,
0,2014,789,1105,562,742,
0,2014,801,1170,562,672,
0,2014,796,1118,551,686,
0,2014,833,1157,566,700,
0,2014,807,1131,545,728,
0,2014,796,1144,582,721,
0,2014,799,1105,546,686,
0,2014,749,1118,573,714,
0,2014,815,1131,545,707,
0,2014,856,1144,548,714,
0,2014,782,1092,550,700,
0,2014,770,1118,562,693,
0,2014,787,1170,567,721,
0,2014,799,1118,548,714,
0,2014,822,1144,547,728,
0,2014,782,1079,549,679,
0,2014,764,1118,557,686,
0,2014,807,1131,539,728,
0,2014,819,1105,564,728,
0,2014,836,1157,551,714,
0,2014,740,1079,530,665,
0,2014,737,1118,542,672,
0,2014,840,1131,562,728,
0,2014,837,1183,547,714,
0,2014,804,1092,566,707,
0,2014,746,1118,556,693,
0,2014,817,1144,549,714,
0,2014,826,1144,546,700,
0,2014,807,1183,572,700,
0,2014,738,1092,550,686,
0,2014,762,1105,554,686,
0,2014,810,1131,538,714,
0,2014,825,1131,538,707,
0,2014,818,1157,556,728,
0,2014,785,1118,541,693,
0,2014,810,1131,543,700,
0,2014,820,1105,552,714,
0,2014,751,1105,568,714,
0,2014,812,1118,545,728,
0,2014,846,1131,547,707,
0,2014,816,1144,539,679,
0,2014,848,1157,549,700,
0,2014,828,1170,551,714,
0,2014,784,1144,546,700,
0,2014,822,1131,562,700,
0,2014,829,1144,547,721,
0,2014,774,1131,561,721,
0,2014,822,1118,543,735,
0,2014,821,1131,545,714,
0,2014,779,1118,537,693,
0,2014,797,1118,548,693,
0,2014,814,1144,555,728,
0,2014,765,1092,558,686,
0,2014,782,1118,548,693,
0,2014,780,1092,553,735,
0,2014,763,1066,550,707,
0,2014,804,1118,567,742,
0,2014,813,1131,541,679,
0,2014,787,1105,550,707,
0,2014,786,1092,556,714,
0,2014,772,1105,554,707,
0,2014,831,1144,578,728,
0,2014,772,1105,574,721,
0,2014,779,1118,553,714,
0,2014,735,1092,572,707,
0,2014,859,1157,546,700,
0,2014,774,1131,539,679,
0,2014,779,1118,543,721,
0,2014,805,1144,544,700,
0,2014,725,1079,553,721,
0,2014,805,1105,533,693,

0,2014,972,1248,722,889,
0,2014,945,1248,725,875,
0,2014,905,1235,699,868,
0,2014,917,1235,719,868,
0,2014,972,1248,710,868,
0,2014,934,1261,711,868,
0,2014,894,1209,703,868,
0,2014,908,1196,695,847,
0,2014,865,1222,722,861,
0,2014,889,1222,700,875,
0,2014,916,1222,721,854,
0,2014,927,1261,716,889,
0,2014,897,1209,685,840,
0,2014,856,1183,695,861,
0,2014,887,1235,707,861,
0,2014,904,1235,706,889,
0,2014,914,1235,702,875,
0,2014,916,1235,718,903,
0,2014,961,1261,692,868,
0,2014,898,1183,695,847,
0,2014,903,1235,723,868,
0,2014,852,1209,692,847,
0,2014,905,1235,719,861,
0,2014,936,1248,691,861,
0,2014,904,1222,698,868,
0,2014,842,1170,707,889,
0,2014,888,1209,715,875,
0,2014,875,1209,708,861,
0,2014,897,1196,716,868,
0,2014,910,1196,716,875,
0,2014,896,1274,708,861,
0,2014,883,1157,708,868,
0,2014,940,1222,722,896,
0,2014,883,1261,722,861,
0,2014,942,1248,722,875,
0,2014,903,1209,702,861,
0,2014,921,1248,717,875,
0,2014,931,1235,703,854,
0,2014,897,1209,704,875,
0,2014,893,1248,706,875,
0,2014,842,1196,716,833,
0,2014,911,1222,716,875,
0,2014,880,1235,703,868,
0,2014,876,1222,703,847,
0,2014,907,1222,705,840,
0,2014,906,1248,703,882,
0,2014,948,1209,697,861,
0,2014,892,1235,727,875,
0,2014,878,1235,720,861,
0,2014,924,1248,677,826,
0,2014,940,1183,681,854,
0,2014,914,1235,719,868,
0,2014,845,1209,705,854,
0,2014,897,1287,728,854,
0,2014,916,1222,720,847,
0,2014,925,1261,696,840,
0,2014,876,1209,699,868,
0,2014,911,1209,722,875,
0,2014,910,1222,701,868,
0,2014,903,1222,706,875,
0,2014,860,1196,705,882,
0,2014,877,1222,703,868,
0,2014,979,1261,698,861,
0,2014,945,1209,693,868,
0,2014,884,1274,691,840,
0,2014,903,1248,717,896,
0,2014,865,1183,712,882,
0,2014,935,1235,706,854,
0,2014,871,1222,716,861,
0,2014,876,1222,704,847,
0,2014,905,1196,717,854,
0,2014,898,1222,709,882,
0,2014,872,1235,716,854,
0,2014,920,1235,720,889,
0,2014,886,1300,715,847,
0,2014,899,1196,698,882,
0,2014,894,1235,716,875,
0,2014,871,1235,706,854,
0,2014,912,1209,706,854,
0,2014,901,1222,702,875,
0,2014,911,1235,718,868,
0,2014,913,1261,706,854,
0,2014,865,1183,710,875,
0,2014,880,1222,721,861,
0,2014,857,1196,710,868,
0,2014,949,1248,715,896,
0,2014,878,1196,707,840,
0,2014,879,1248,704,854,
0,2014,913,1222,708,861,
0,2014,929,1235,709,868,
0,2014,927,1222,739,910,
0,2014,954,1248,721,896,
0,2014,902,1235,700,854,
0,2014,911,1235,721,882,
0,2014,886,1235,711,875,
0,2014,872,1196,699,861,
0,2014,912,1248,713,861,
0,2014,909,1209,698,889,
0,2014,949,1261,703,854,
0,2014,848,1196,703,868,

0,2014,1002,1326,866,1008,
0,2014,1002,1326,860,1008,
0,2014,978,1326,841,994,
0,2014,987,1326,848,994,
0,2014,1013,1313,844,1015,
0,2014,1034,1274,849,1015,
0,2014,1008,1326,851,1001,
0,2014,929,1274,839,1008,
0,2014,1015,1339,854,1036,
0,2014,946,1300,841,994,
0,2014,1022,1352,852,994,
0,2014,1004,1365,857,1008,
0,2014,904,1300,832,973,
0,2014,991,1300,819,1001,
0,2014,1001,1313,846,1008,
0,2014,1037,1326,842,1001,
0,2014,988,1300,844,1029,
0,2014,975,1300,857,1029,
0,2014,995,1313,834,994,
0,2014,998,1313,834,1008,
0,2014,1004,1339,859,1043,
0,2014,989,1313,815,980,
0,2014,1032,1365,852,994,
0,2014,1009,1339,840,980,
0,2014,966,1287,848,1008,
0,2014,1034,1287,829,1008,
0,2014,1002,1326,846,1015,
0,2014,996,1339,836,1001,
0,2014,977,1300,843,1015,
0,2014,1055,1365,837,1008,
0,2014,997,1339,833,994,
0,2014,979,1313,839,1015,
0,2014,956,1313,870,1008,
0,2014,999,1326,844,1008,
0,2014,1031,1352,856,1036,
0,2014,968,1313,834,1008,
0,2014,984,1326,846,1001,
0,2014,960,1300,848,1008,
0,2014,961,1300,845,1022,
0,2014,1023,1339,836,1008,
0,2014,996,1326,835,1015,
0,2014,1027,1326,850,1029,
0,2014,1017,1339,822,994,
0,2014,995,1326,832,1001,
0,2014,975,1287,838,1008,
0,2014,1046,1352,841,1008,
0,2014,957,1326,843,1022,
0,2014,1012,1313,852,1043,
0,2014,977,1313,851,1022,
0,2014,995,1313,819,959,
0,2014,973,1339,820,973,
0,2014,1012,1339,854,1015,
0,2014,995,1326,830,966,
0,2014,1039,1339,857,1001,
0,2014,1003,1339,852,1022,
0,2014,1049,1352,840,1001,
0,2014,951,1326,843,994,
0,2014,994,1313,864,1008,
0,2014,968,1313,842,987,
0,2014,1000,1313,834,1008,
0,2014,1010,1313,841,1022,
0,2014,884,1235,850,1008,
0,2014,1036,1339,842,1015,
0,2014,1011,1326,834,1008,
0,2014,1007,1313,829,1008,
0,2014,1021,1339,852,1022,
0,2014,1010,1313,841,1008,
0,2014,958,1339,854,1001,
0,2014,996,1287,845,1022,
0,2014,959,1287,843,1008,
0,2014,993,1326,860,1008,
0,2014,1015,1339,843,1022,
0,2014,1016,1313,844,994,
0,2014,1033,1339,853,1029,
0,2014,998,1352,852,1022,
0,2014,996,1326,847,1001,
0,2014,1009,1365,852,1015,
0,2014,1017,1339,829,994,
0,2014,893,1274,846,1008,
0,2014,902,1313,841,987,
0,2014,985,1339,854,1022,
0,2014,989,1274,840,1022,
0,2014,985,1339,848,1036,
0,2014,1030,1339,844,1001,
0,2014,980,1313,847,1015,
0,2014,1019,1339,847,1015,
0,2014,1021,1339,820,1008,
0,2014,1001,1313,839,1015,
0,2014,995,1313,832,1015,
0,2014,1002,1287,847,1015,
0,2014,1065,1378,869,1036,
0,2014,1044,1326,866,1043,
0,2014,979,1261,843,994,
0,2014,1037,1352,872,1022,
0,2014,973,1313,841,994,
0,2014,960,1287,835,994,
0,2014,1039,1300,841,1008,
0,2014,1012,1339,832,1015,
0,2014,995,1313,834,1022,
0,2014,1013,1313,836,1008,

0,2014,1060,1417,975,1134,
0,2014,1066,1378,976,1148,
0,2014,1068,1404,962,1141,
0,2014,1050,1404,961,1134,
0,2014,1036,1378,959,1127,
0,2014,1082,1430,977,1134,
0,2014,1057,1417,966,1155,
0,2014,1115,1391,953,1134,
0,2014,1118,1430,971,1134,
